DEPT_CD,AGENCY,MEASURE_ID,MEASURE_NAME,KEY_PERFORMANCE,DIV_CD,PROGRAM_NAME,GP_CD,ACTIVITY_NAME,MEASURE_TYPE_NAME,DATA_SOURCE,FREQUENCY_NAME,CFY
AE,1100,7663,Call Service Level,0,4CUS,Customer Care,4CWC,311 City-Wide Call Center,Efficiency,311 City-wide information system,Quarterly,2016
AE,1100,7610,Number of service orders issued,0,4CUS,Customer Care,4CWC,311 City-Wide Call Center,Demand,3-1-1 city-wide information center data (Motorola CSR report) on number of service requests issued.,Annually,2016
AE,1100,7609,Number of telephone calls answered,0,4CUS,Customer Care,4CWC,311 City-Wide Call Center,Demand,3-1-1 data,Annually,2016
AE,1100,7449,Daily bill generation,0,4CUS,Customer Care,4BIL,Billing and Revenue Measurement,Efficiency,Customer Care data,Annually,2016
AE,1100,7970,Percent of customer billing requests resolved prior to next billing cycle (less than 30 days from date of request),0,4CUS,Customer Care,4BIL,Billing and Revenue Measurement,Output,CC&B System and Internal reports,Annually,2016
AE,1100,7969,Percent of high priority customer billing requests resolved within five business days,0,4CUS,Customer Care,4BIL,Billing and Revenue Measurement,Output,CC&B Billing System and Internal Reports,Annually,2016
AE,1100,7448,Average Customer Wait Time,0,4CUS,Customer Care,4CCC,Customer Contact Center,Output,Customer Information System (CIS) reports,Annually,2016
AE,1100,7447,Total Customer Interactions,0,4CUS,Customer Care,4CCC,Customer Contact Center,Output,Customer Information System (CIS).,Annually,2016
AE,1100,7612,Commercial Rebate Megawatt savings,0,3DES,Customer Energy Solutions,3CRI,Conservation Rebates and Incentives,Output,Approved rebates as calculated from Austin Energy energy efficiency services measurements of MW's saved,Annually,2016
AE,1100,7613,Peak Load Management Megawatt Savings,0,3DES,Customer Energy Solutions,3CRI,Conservation Rebates and Incentives,Output,Approved rebates as calculated from Austin Energy energy efficiency services measurements of MW's saved,Annually,2016
AE,1100,7611,Residential Rebates Megawatt Savings,0,3DES,Customer Energy Solutions,3CRI,Conservation Rebates and Incentives,Output,Rebate amounts determined based on Megawatt reduced by the programs.,Annually,2016
AE,1100,7614,Solar Incentive Megawatt Savings,0,3DES,Customer Energy Solutions,3CRI,Conservation Rebates and Incentives,Output,Approved rebates and incentives as calculated from Austin Energy energy efficiency services measurements of MW's saved,Annually,2016
AE,1100,7435,Megawatts (MW) of solar generation in Austin Energy's energy supply,0,3DES,Customer Energy Solutions,3DSM,Demand Side Management,Output,Energy and Market Operations annual data on solar generation either purchased in purchase power agreements (PPA;s) or generated through Austin Energy owned plants.,Annually,2016
AE,1100,7436,Peak Demand Megawatt (MW) savings,0,3DES,Customer Energy Solutions,3DSM,Demand Side Management,Output,Energy Efficiency Services data on peak demand reduction.,Annually,2016
AE,1100,7434,Percentage of energy efficiency achieved in customer base,0,3DES,Customer Energy Solutions,3DSM,Demand Side Management,Output,Energy Efficiency Services annual reports on number of customers who received weatherization or other energy efficiency services.,Annually,2016
AE,1100,7433,Renewable Power Generated as a Percent of Consumption,1,3DES,Customer Energy Solutions,3DSM,Demand Side Management,Result,Energy and Market Operations annual reports,Annually,2016
AE,1100,7606,Miles of Distribution Line Cleared,0,2ESD,Electric Service Delivery,2DST,Distribution Services,Output,Austin Energy Distribution Tree Trimming Program data provied from in-house and external contractors.,Annually,2016
AE,1100,7413,System Average Interruption Duration Index (SAIDI),0,2ESD,Electric Service Delivery,2DST,Distribution Services,Efficiency,Energy Control Center data,Monthly,2016
AE,1100,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),1,2ESD,Electric Service Delivery,2DST,Distribution Services,Efficiency,Energy Control Center reports,Monthly,2016
AE,1100,7608,Capital dollars per customer,0,2ESD,Electric Service Delivery,2PDL,Power Delivery Support,Efficiency,Annual DXR reports for total capital improvement program expenditures and total number of customers per the utility billing system CIS or CC&B.,Annually,2016
AE,1100,7607,Operations and Maintenance cost per megawatt-hour (MWH) sold,0,2ESD,Electric Service Delivery,2PDL,Power Delivery Support,Efficiency,Total O&M cost per DXR reports each fiscal year and total MWH sales provided by Austin Energy internal staff.,Annually,2016
AE,1100,7605,Miles of Transmission Line Cleared,0,2ESD,Electric Service Delivery,2TRN,Transmission Services,Output,Austin Energy Transmission Tree Trimming Program data provided from in-house and external contractors.,Annually,2016
AE,1100,7432,System Average Transmission Line Performance Index (SATLPI),0,2ESD,Electric Service Delivery,2TRN,Transmission Services,Efficiency,Energy Control Center data,Monthly,2016
AE,1100,7438,Power Supply Cost average (cents per Kilowatt hour),1,5FUL,Fuel & ERCOT Recoverable,5FGC,Fuel & ERCOT Recoverable,Efficiency,Energy and Market Operations data on fuel costs,Annually,2016
